"","origin","year","paper","title","subject","community"
"87","<http://data.linkededucation.org/resource/lak/conference/edm2014/proceedings>",NA,"<http://data.linkededucation.org/resource/lak/conference/edm2014/paper/584>","Cost-Effective, Actionable Engagement Detection at Scale","cost-effectiveness","IEDM"
"406","<http://data.linkededucation.org/resource/lak/conference/edm2013/proceedings>",NA,"<http://data.linkededucation.org/resource/lak/conference/edm2013/paper/291>","Toward Predicting Test Score Gains With Online Behavior Data of Teachers","pedagogy","IEDM"
"805","<http://data.linkededucation.org/resource/lak/conference/edm2011/proceedings>",NA,"<http://data.linkededucation.org/resource/lak/conference/edm2011/paper/78>","Predicting School Failure Using Data Mining","school failure","IEDM"
"1061","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-01>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201401/paper/476>","Practice and Repetition during Exam Preparation in Blended Learning Courses: Correlations with Learning Results","practice","SoLAR"
"1085","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-02>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201402/paper/489>","Epistemology, Assessment, Pedagogy: Where Learning Meets Analytics in the Middle Space","pedagogy","SoLAR"
"1096","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-01>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201401/paper/483>","Contemporary Privacy Theory Contributions to Learning Analytics","privacy theory","SoLAR"
"1108","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-01>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201401/paper/481>","Early Alert of Academically At-Risk Students: An Open Source Analytics Initiative","open source","SoLAR"
"1131","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-01>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201401/paper/480>","Editorial: Inaugural Issue of the Journal of Learning Analytics","practice","SoLAR"
"1149","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-02>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201402/paper/485>","Scientometrics as an Important Tool for the Growth of the Field of Learning Analytics","practice","SoLAR"
"1154","<http://data.linkededucation.org/resource/lak/journal/jla/2014-01-01>",NA,"<http://data.linkededucation.org/resource/lak/journal/jla201401/paper/483>","Contemporary Privacy Theory Contributions to Learning Analytics","privacy","SoLAR"
"1236","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/646>","Building Institutional Capacities and Competencies for Systemic Learning Analytics Initiatives","capacity building","SoLAR"
"1347","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/646>","Building Institutional Capacities and Competencies for Systemic Learning Analytics Initiatives","sustainability","SoLAR"
"1367","<http://data.linkededucation.org/resource/lak/conference/lak2012/proceedings>",2012,"<http://data.linkededucation.org/resource/lak/conference/lak2012/paper/10>","The Pulse of Learning Analytics Understandings and Expectations from the Stakeholders","privacy","SoLAR"
"1411","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/650>","Setting Learning Analytics in Context: Overcoming the Barriers to Large-Scale Adoption","implementation","SoLAR"
"1412","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/623>","Teaching the Unteachable: On The Compatibility of Learning Analytics and Humane Education","pedagogy","SoLAR"
"1425","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/621>","Open Academic Early Alert System: Technical Demonstration","open source","SoLAR"
"1447","<http://data.linkededucation.org/resource/lak/conference/lak2012/proceedings>",2012,"<http://data.linkededucation.org/resource/lak/conference/lak2012/paper/31>","Mining academic data to improve college student retention: An open source perspective","open source","SoLAR"
"1449","<http://data.linkededucation.org/resource/lak/conference/lak2012/proceedings>",2012,"<http://data.linkededucation.org/resource/lak/conference/lak2012/paper/32>","The relationship between educational performance and online access routines: analysis of students' access to an online discussion forum","open source","SoLAR"
"1456","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/114>","Analytics of collaborative planning in Metafora - architecture, data, and analytic methods","analytics architecture","SoLAR"
"1459","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/620>","The Impact of Learning Analytics on the Dutch Education System","community building","SoLAR"
"1466","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/646>","Building Institutional Capacities and Competencies for Systemic Learning Analytics Initiatives","cultural change","SoLAR"
"1472","<http://data.linkededucation.org/resource/lak/conference/lak2011/proceedings>",2011,"<http://data.linkededucation.org/resource/lak/conference/lak2011/paper/62>","Learning Designs and Learning Analytics","pedagogical models","SoLAR"
"1532","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/84>","Open Academic Analytics Initiative: Initial Research findings","open source","SoLAR"
"1595","<http://data.linkededucation.org/resource/lak/conference/lak2012/proceedings>",2012,"<http://data.linkededucation.org/resource/lak/conference/lak2012/paper/19>","The Learning Analytics Cycle: Closing the loop effectively","policy","SoLAR"
"1749","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/91>","Supporting Action Research with Learning Analytics","impact analysis","SoLAR"
"1753","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/646>","Building Institutional Capacities and Competencies for Systemic Learning Analytics Initiatives","systemic application","SoLAR"
"1755","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/85>","Epistemology, Pedagogy, Assessment and Learning Analytics","pedagogy","SoLAR"
"1776","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/646>","Building Institutional Capacities and Competencies for Systemic Learning Analytics Initiatives","leadership","SoLAR"
"1858","<http://data.linkededucation.org/resource/lak/conference/lak2014/proceedings>",2014,"<http://data.linkededucation.org/resource/lak/conference/lak2014/paper/650>","Setting Learning Analytics in Context: Overcoming the Barriers to Large-Scale Adoption","change management","SoLAR"
"1888","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/119>","An evaluation of policy frameworks for addressing ethical considerations in learning analytics","policy","SoLAR"
"1986","<http://data.linkededucation.org/resource/lak/conference/lak2013/proceedings>",2013,"<http://data.linkededucation.org/resource/lak/conference/lak2013/paper/104>","Crafting Transformative Strategies for Personalized Learning/Analytics","strategic planning","SoLAR"
